BOROUGH,YEAR,WEEK,NUMBER_OF_PERSONS_INJURED,NUMBER_OF_PERSONS_KILLED,NUMBER_OF_PEDESTRIANS_INJURED,NUMBER_OF_PEDESTRIANS_KILLED,NUMBER_OF_CYCLIST_INJURED,NUMBER_OF_CYCLIST_KILLED,NUMBER_OF_MOTORIST_INJURED,NUMBER_OF_MOTORIST_KILLED
STATEN ISLAND,2013,41,31,0,7,0,0,0,24,0
STATEN ISLAND,2013,42,25,0,6,0,2,0,17,0
STATEN ISLAND,2013,43,37,0,5,0,1,0,31,0
STATEN ISLAND,2013,44,62,0,7,0,1,0,54,0
STATEN ISLAND,2013,45,42,0,7,0,0,0,35,0
STATEN ISLAND,2013,46,28,0,10,0,0,0,18,0
STATEN ISLAND,2013,47,32,0,3,0,0,0,29,0
STATEN ISLAND,2013,48,28,0,4,0,0,0,24,0
STATEN ISLAND,2013,49,34,0,1,0,0,0,33,0
STATEN ISLAND,2013,50,31,1,6,0,0,0,25,1
STATEN ISLAND,2013,51,40,0,7,0,0,0,33,0
STATEN ISLAND,2013,52,17,1,5,1,0,0,12,0
STATEN ISLAND,2014,1,33,1,5,0,0,0,28,1
STATEN ISLAND,2014,2,25,1,5,0,0,0,20,1
STATEN ISLAND,2014,3,37,0,12,0,1,0,24,0
STATEN ISLAND,2014,4,26,1,5,1,0,0,21,0
STATEN ISLAND,2014,5,42,0,9,0,0,0,33,0
STATEN ISLAND,2014,6,14,0,4,0,0,0,10,0
STATEN ISLAND,2014,7,38,0,7,0,0,0,31,0
STATEN ISLAND,2014,8,28,0,6,0,1,0,21,0
STATEN ISLAND,2014,9,24,0,1,0,0,0,23,0
STATEN ISLAND,2014,10,16,0,1,0,0,0,15,0
STATEN ISLAND,2014,11,33,0,7,0,1,0,25,0
STATEN ISLAND,2014,12,29,0,7,0,0,0,22,0
STATEN ISLAND,2014,13,27,0,6,0,0,0,21,0
STATEN ISLAND,2014,14,20,1,6,0,0,0,14,1
STATEN ISLAND,2014,15,34,0,7,0,1,0,26,0
STATEN ISLAND,2014,16,22,0,6,0,1,0,15,0
STATEN ISLAND,2014,17,34,0,5,0,2,0,27,0
STATEN ISLAND,2014,18,25,0,5,0,0,0,20,0
STATEN ISLAND,2014,19,23,0,3,0,0,0,20,0
STATEN ISLAND,2014,20,39,0,7,0,0,0,32,0
STATEN ISLAND,2014,21,25,0,2,0,1,0,22,0
STATEN ISLAND,2014,22,31,0,2,0,0,0,29,0
STATEN ISLAND,2014,23,29,1,2,0,3,0,24,1
STATEN ISLAND,2014,24,37,1,4,1,0,0,33,0
STATEN ISLAND,2014,25,35,0,4,0,1,0,30,0
STATEN ISLAND,2014,26,30,0,6,0,1,0,23,0
STATEN ISLAND,2014,27,42,0,5,0,0,0,37,0
STATEN ISLAND,2014,28,34,0,2,0,0,0,32,0
STATEN ISLAND,2014,29,18,1,3,1,1,0,14,0
STATEN ISLAND,2014,30,24,0,2,0,2,0,20,0
STATEN ISLAND,2014,31,30,1,3,1,4,0,23,0
STATEN ISLAND,2014,32,33,0,6,0,2,0,25,0
STATEN ISLAND,2014,33,26,0,3,0,0,0,23,0
STATEN ISLAND,2014,34,31,0,1,0,1,0,29,0
STATEN ISLAND,2014,35,40,0,0,0,3,0,37,0
STATEN ISLAND,2014,36,32,0,3,0,1,0,28,0
STATEN ISLAND,2014,37,30,0,3,0,2,0,25,0
STATEN ISLAND,2014,38,32,0,2,0,1,0,29,0
STATEN ISLAND,2014,39,32,0,3,0,2,0,27,0
STATEN ISLAND,2014,40,48,0,3,0,2,0,43,0
STATEN ISLAND,2014,41,26,0,3,0,0,0,23,0
STATEN ISLAND,2014,42,30,0,2,0,1,0,27,0
STATEN ISLAND,2014,43,37,0,4,0,0,0,33,0
STATEN ISLAND,2014,44,28,0,8,0,0,0,20,0
STATEN ISLAND,2014,45,36,0,7,0,1,0,28,0
STATEN ISLAND,2014,46,29,1,1,1,0,0,28,0
STATEN ISLAND,2014,47,35,0,6,0,1,0,28,0
STATEN ISLAND,2014,48,40,0,6,0,0,0,34,0
STATEN ISLAND,2014,49,22,0,7,0,0,0,15,0
STATEN ISLAND,2014,50,30,0,4,0,0,0,26,0
STATEN ISLAND,2014,51,23,0,6,0,0,0,17,0
STATEN ISLAND,2014,52,32,1,2,0,2,0,28,1
STATEN ISLAND,2015,1,11,0,1,0,0,0,10,0
STATEN ISLAND,2015,2,34,0,6,0,0,0,28,0
STATEN ISLAND,2015,3,40,0,9,0,0,0,31,0
STATEN ISLAND,2015,4,17,0,3,0,0,0,14,0
STATEN ISLAND,2015,5,15,0,4,0,0,0,11,0
STATEN ISLAND,2015,6,52,0,6,0,0,0,46,0
STATEN ISLAND,2015,7,38,0,7,0,0,0,31,0
STATEN ISLAND,2015,8,31,0,4,0,0,0,27,0
STATEN ISLAND,2015,9,16,0,3,0,0,0,13,0
STATEN ISLAND,2015,10,31,1,6,0,0,0,25,1
STATEN ISLAND,2015,11,18,0,2,0,1,0,15,0
STATEN ISLAND,2015,12,30,0,3,0,1,0,26,0
STATEN ISLAND,2015,13,25,0,2,0,0,0,23,0
STATEN ISLAND,2015,14,21,0,5,0,0,0,16,0
STATEN ISLAND,2015,15,19,0,3,0,0,0,16,0
